Rodada;Time1;Time2;GFM;GSM;GSV;GFV
1;SAO;BOT;2;0;2;0
1;CAM;AVA;2;1;2;1
1;CHA;INT;2;0;2;0
1;FLA;CRU;3;1;3;1
1;GRE;SAN;1;2;1;2
1;CEA;CSA;4;0;4;0
1;BAH;COR;3;2;3;2
1;CAP;VAS;4;1;4;1
1;PAL;FOR;4;0;4;0
1;FLU;GOI;0;1;0;1
2;INT;FLA;2;1;2;1
2;COR;CHA;1;0;1;0
2;CSA;PAL;1;1;1;1
2;CRU;CEA;1;0;1;0
2;AVA;GRE;1;1;1;1
2;FOR;CAP;2;1;2;1
2;VAS;CAM;1;2;1;2
2;GOI;SAO;1;2;1;2
2;SAN;FLU;2;1;2;1
2;BOT;BAH;3;2;3;2
3;PAL;INT;1;0;1;0
3;VAS;COR;1;1;1;1
3;CEA;CAM;1;2;1;2
3;CHA;CAP;1;1;1;1
3;CRU;GOI;2;1;2;1
3;SAO;FLA;1;1;1;1
3;BOT;FOR;1;0;1;0
3;CSA;SAN;0;0;0;0
3;GRE;FLU;4;5;4;5
3;BAH;AVA;1;0;1;0
4;FLU;BOT;0;1;0;1
4;COR;GRE;0;0;0;0
4;GOI;CEA;2;1;2;1
4;FLA;CHA;2;1;2;1
4;INT;CRU;3;1;3;1
4;CAM;PAL;0;2;0;2
4;SAN;VAS;3;0;3;0
4;FOR;SAO;0;1;0;1
4;AVA;CSA;0;0;0;0
4;CAP;BAH;1;0;1;0
5;FLU;CRU;4;1;4;1
5;CAM;FLA;2;1;2;1
5;PAL;SAN;4;0;4;0
5;SAO;BAH;0;0;0;0
5;INT;CSA;2;0;2;0
5;CHA;FOR;1;3;1;3
5;GOI;BOT;1;0;1;0
5;CAP;COR;0;2;0;2
5;CEA;GRE;2;1;2;1
5;VAS;AVA;1;1;1;1
6;GRE;CAM;1;0;1;0
6;SAN;INT;0;0;0;0
6;FLA;CAP;3;2;3;2
6;CRU;CHA;1;2;1;2
6;FOR;VAS;1;1;1;1
6;COR;SAO;1;0;1;0
6;BAH;FLU;3;2;3;2
6;AVA;CEA;1;2;1;2
6;BOT;PAL;0;0;0;0
6;CSA;GOI;1;0;1;0
7;FLA;FOR;2;0;2;0
7;BAH;GRE;1;0;1;0
7;BOT;VAS;1;0;1;0
7;CEA;SAN;0;1;0;1
7;SAO;CRU;1;1;1;1
7;CAP;FLU;3;0;3;0
7;INT;AVA;2;0;2;0
7;CAM;CSA;4;0;4;0
7;CHA;PAL;1;2;1;2
7;COR;GOI;0;0;0;0
8;VAS;INT;2;1;2;1
8;PAL;CAP;1;0;1;0
8;GRE;FOR;1;0;1;0
8;CRU;COR;0;0;0;0
8;CEA;BAH;0;0;0;0
8;AVA;SAO;0;0;0;0
8;SAN;CAM;3;1;3;1
