Rodada;Time1;Time2;GFM;GSM;GSV;GFV
1;BOT;PAL;1;1;1;1
1;SAO;PAR;1;0;1;0
1;CAP;CHA;5;1;5;1
1;COR;FLU;2;1;2;1
1;INT;BAH;2;0;2;0
1;VAS;CAM;2;1;2;1
1;AME;SPO;3;0;3;0
1;SAN;CEA;2;0;2;0
1;VIT;FLA;2;2;2;2
1;CRU;GRE;0;1;0;1
2;SPO;BOT;1;1;1;1
2;GRE;CAP;0;0;0;0
2;CAM;VIT;2;1;2;1
2;CEA;SAO;0;0;0;0
2;CHA;VAS;1;1;1;1
2;FLU;CRU;1;0;1;0
2;PAL;INT;1;0;1;0
2;PAR;COR;0;4;0;4
2;FLA;AME;2;0;2;0
2;BAH;SAN;1;0;1;0
3;AME;VIT;2;1;2;1
3;INT;CRU;0;0;0;0
3;CAM;COR;1;0;1;0
3;BAH;CAP;0;0;0;0
3;CEA;FLA;0;3;0;3
3;FLU;SAO;1;1;1;1
3;PAL;CHA;0;0;0;0
3;PAR;SPO;1;2;1;2
3;BOT;GRE;2;1;2;1
3;SAN;VAS;1;1;1;1
4;CHA;PAR;1;1;1;1
4;GRE;SAN;5;1;5;1
4;SPO;BAH;2;0;2;0
4;CAP;PAL;1;3;1;3
4;CRU;BOT;1;0;1;0
4;FLA;INT;2;0;2;0
4;VIT;FLU;1;2;1;2
4;COR;CEA;1;1;1;1
4;SAO;CAM;2;2;2;2
4;VAS;AME;4;1;4;1
5;BOT;FLU;2;1;2;1
5;CEA;AME;2;2;2;2
5;SAN;PAR;3;1;3;1
5;CAP;CAM;1;2;1;2
5;BAH;SAO;2;2;2;2
5;CHA;FLA;3;2;3;2
5;COR;PAL;1;0;1;0
5;VAS;VIT;2;3;2;3
5;CRU;SPO;2;0;2;0
5;GRE;INT;0;0;0;0
6;INT;CHA;3;0;3;0
6;FLU;CAP;2;0;2;0
6;AME;BOT;1;0;1;0
6;PAR;GRE;0;0;0;0
6;SAO;SAN;1;0;1;0
6;SPO;COR;1;1;1;1
6;VIT;CEA;2;1;2;1
6;PAL;BAH;3;0;3;0
6;FLA;VAS;1;1;1;1
6;CAM;CRU;1;0;1;0
7;AME;SAO;1;3;1;3
7;CEA;GRE;0;1;0;1
7;BAH;VAS;3;0;3;0
7;BOT;VIT;1;1;1;1
7;INT;COR;2;1;2;1
7;SAN;CRU;0;1;0;1
7;PAR;CAP;0;0;0;0
7;CAM;FLA;0;1;0;1
7;PAL;SPO;2;3;2;3
7;FLU;CHA;3;1;3;1
8;CAP;SAN;2;0;2;0
8;COR;AME;1;0;1;0
8;FLA;BAH;2;0;2;0
8;CRU;PAL;1;0;1;0
8;GRE;FLU;0;0;0;0
8;CHA;CEA;2;0;2;0
8;SAO;BOT;3;2;3;2
8;SPO;CAM;3;2;3;2
8;VAS;PAR;1;0;1;0
8;VIT;INT;2;3;2;3
9;PAR;FLU;2;1;2;1
9;CEA;CRU;0;1;0;1
9;AME;CAP;3;1;3;1
9;BAH;GRE;0;2;0;2
9;FLA;COR;1;0;1;0
9;SAN;VIT;5;2;5;2
9;PAL;SAO;3;1;3;1
9;VAS;BOT;1;2;1;2
9;CAM;CHA;3;3;3;3
9;INT;SPO;0;0;0;0
10;AME;CAM;1;3;1;3
10;FLU;FLA;0;2;0;2
10;PAR;BAH;1;0;1;0
10;CRU;VAS;1;1;1;1
10;GRE;PAL;0;2;0;2
10;COR;SAN;1;1;1;1
10;SPO;CAP;1;0;1;0
10;BOT;CEA;0;0;0;0
10;VIT;CHA;1;0;1;0
10;SAO;INT;0;0;0;0
11;FLA;PAR;2;0;2;0
11;SAN;INT;1;2;1;2
11;CAM;FLU;5;2;5;2
11;BAH;BOT;3;3;3;3
11;CEA;PAL;2;2;2;2
11;GRE;AME;1;0;1;0
11;COR;VIT;0;0;0;0
11;CHA;CRU;2;0;2;0
11;VAS;SPO;3;2;3;2
11;CAP;SAO;0;1;0;1
12;CAM;CEA;2;1;2;1
12;BAH;COR;1;0;1;0
12;INT;VAS;3;1;3;1
12;BOT;CAP;2;0;2;0
12;PAL;FLA;1;1;1;1
12;PAR;CRU;1;1;1;1
12;SPO;GRE;0;0;0;0
12;FLU;SAN;0;1;0;1
12;AME;CHA;0;0;0;0
12;SAO;VIT;3;0;3;0
13;CAP;INT;2;2;2;2
13;SAN;PAL;1;1;1;1
13;VAS;FLU;1;1;1;1
13;CHA;BAH;1;1;1;1
13;CRU;AME;3;1;3;1
13;COR;BOT;2;0;2;0
13;FLA;SAO;0;1;0;1
13;GRE;CAM;2;0;2;0
13;VIT;PAR;1;0;1;0
13;CEA;SPO;1;0;1;0
14;INT;CEA;1;0;1;0
14;CHA;SAN;0;0;0;0
14;CRU;CAP;2;1;2;1
14;BAH;VIT;4;1;4;1
14;PAL;CAM;3;2;3;2
14;PAR;AME;1;0;1;0
14;SPO;FLU;1;2;1;2
14;VAS;GRE;1;0;1;0
14;SAO;COR;3;1;3;1
14;FLA;BOT;2;0;2;0
15;AME;INT;2;1;2;1
15;BOT;CHA;1;0;1;0
15;GRE;SAO;2;1;2;1
15;VIT;SPO;1;0;1;0
15;COR;CRU;2;0;2;0
15;SAN;FLA;1;1;1;1
15;CAM;PAR;2;0;2;0
15;FLU;PAL;1;0;1;0
15;CAP;VAS;1;0;1;0
15;CEA;BAH;0;2;0;2
16;BAH;CAM;2;2;2;2
16;CHA;GRE;1;1;1;1
16;SAN;AME;0;1;0;1
16;CAP;VIT;4;0;4;0
16;CRU;SAO;0;2;0;2
16;FLA;SPO;4;1;4;1
16;INT;BOT;3;0;3;0
16;PAL;PAR;3;0;3;0
16;VAS;COR;1;4;1;4
16;CEA;FLU;1;0;1;0
17;BOT;SAN;0;0;0;0
17;GRE;FLA;2;0;2;0
17;COR;CAP;0;0;0;0
17;PAR;CEA;0;1;0;1
17;AME;PAL;0;0;0;0
17;VIT;CRU;1;1;1;1
17;SAO;VAS;2;1;2;1
17;FLU;BAH;1;1;1;1
17;SPO;CHA;1;1;1;1
17;CAM;INT;0;1;0;1
18;CEA;CAP;0;0;0;0
18;BAH;AME;1;0;1;0
18;CAM;SAN;3;1;3;1
18;PAR;BOT;1;1;1;1
18;CHA;COR;2;1;2;1
18;FLA;CRU;1;0;1;0
18;SPO;SAO;1;3;1;3
18;PAL;VAS;1;0;1;0
18;GRE;VIT;4;0;4;0
18;FLU;INT;0;3;0;3
19;SAN;SPO;3;0;3;0
19;COR;GRE;0;1;0;1
19;CAP;FLA;3;0;3;0
19;INT;PAR;1;0;1;0
19;CRU;BAH;1;1;1;1
19;VIT;PAL;0;3;0;3
19;BOT;CAM;0;3;0;3
19;AME;FLU;0;0;0;0
19;SAO;CHA;2;0;2;0
19;VAS;CEA;1;1;1;1
20;PAL;BOT;2;0;2;0
20;PAR;SAO;1;1;1;1
20;CHA;CAP;2;1;2;1
20;FLU;COR;1;0;1;0
20;BAH;INT;0;1;0;1
20;CAM;VAS;0;0;0;0
20;SPO;AME;0;2;0;2
20;CEA;SAN;1;1;1;1
20;FLA;VIT;1;0;1;0
20;GRE;CRU;1;1;1;1
21;BOT;SPO;2;0;2;0
21;CAP;GRE;2;1;2;1
21;VIT;CAM;1;0;1;0
21;SAO;CEA;1;0;1;0
21;VAS;CHA;3;1;3;1
21;CRU;FLU;2;1;2;1
21;INT;PAL;0;0;0;0
21;COR;PAR;1;0;1;0
21;AME;FLA;2;2;2;2
21;SAN;BAH;2;0;2;0
22;VIT;AME;1;0;1;0
22;CRU;INT;0;0;0;0
22;COR;CAM;1;1;1;1
22;CAP;BAH;2;0;2;0
22;FLA;CEA;0;1;0;1
22;SAO;FLU;1;1;1;1
22;CHA;PAL;1;2;1;2
22;SPO;PAR;1;0;1;0
22;GRE;BOT;4;0;4;0
22;VAS;SAN;0;3;0;3
23;PAR;CHA;1;1;1;1
23;SAN;GRE;0;0;0;0
23;BAH;SPO;2;0;2;0
23;PAL;CAP;2;0;2;0
23;BOT;CRU;1;1;1;1
23;INT;FLA;2;1;2;1
23;FLU;VIT;0;0;0;0
23;CEA;COR;2;1;2;1
23;CAM;SAO;1;0;1;0
23;AME;VAS;2;1;2;1
24;FLU;BOT;1;0;1;0
24;AME;CEA;0;0;0;0
24;PAR;SAN;0;2;0;2
24;CAM;CAP;3;1;3;1
24;SAO;BAH;1;0;1;0
24;FLA;CHA;2;0;2;0
24;PAL;COR;1;0;1;0
24;VIT;VAS;1;0;1;0
24;SPO;CRU;0;0;0;0
24;INT;GRE;1;0;1;0
25;CHA;INT;2;1;2;1
25;CAP;FLU;3;1;3;1
25;BOT;AME;1;0;1;0
25;GRE;PAR;2;0;2;0
25;SAN;SAO;0;0;0;0
25;COR;SPO;2;1;2;1
25;CEA;VIT;2;0;2;0
25;BAH;PAL;1;1;1;1
25;VAS;FLA;1;1;1;1
25;CRU;CAM;0;0;0;0
26;SAO;AME;1;1;1;1
26;GRE;CEA;3;2;3;2
26;VAS;BAH;2;1;2;1
26;VIT;BOT;3;4;3;4
26;COR;INT;1;1;1;1
26;CRU;SAN;2;1;2;1
26;CAP;PAR;3;0;3;0
26;FLA;CAM;2;1;2;1
26;SPO;PAL;0;1;0;1
26;CHA;FLU;1;2;1;2
27;SAN;CAP;1;0;1;0
27;AME;COR;0;0;0;0
27;BAH;FLA;0;0;0;0
27;PAL;CRU;3;1;3;1
27;FLU;GRE;0;1;0;1
27;CEA;CHA;3;1;3;1
27;BOT;SAO;2;2;2;2
27;CAM;SPO;5;2;5;2
27;PAR;VAS;1;1;1;1
27;INT;VIT;2;1;2;1
28;FLU;PAR;4;0;4;0
28;CRU;CEA;0;2;0;2
28;CAP;AME;4;0;4;0
28;GRE;BAH;2;2;2;2
28;COR;FLA;0;3;0;3
28;VIT;SAN;0;1;0;1
28;SAO;PAL;0;2;0;2
28;BOT;VAS;1;1;1;1
28;CHA;CAM;1;0;1;0
28;SPO;INT;2;1;2;1
29;CAM;AME;0;0;0;0
29;FLA;FLU;3;0;3;0
29;BAH;PAR;2;0;2;0
29;VAS;CRU;2;0;2;0
29;PAL;GRE;2;0;2;0
29;SAN;COR;1;0;1;0
29;CAP;SPO;4;0;4;0
29;CEA;BOT;0;0;0;0
29;CHA;VIT;0;1;0;1
29;INT;SAO;3;1;3;1
30;PAR;FLA;0;4;0;4
30;INT;SAN;2;2;2;2
30;FLU;CAM;1;0;1;0
30;BOT;BAH;0;1;0;1
30;PAL;CEA;2;1;2;1
30;AME;GRE;1;1;1;1
30;VIT;COR;2;2;2;2
30;CRU;CHA;3;0;3;0
30;SPO;VAS;2;1;2;1
30;SAO;CAP;0;0;0;0
31;CEA;CAM;2;1;2;1
31;COR;BAH;2;1;2;1
31;VAS;INT;1;1;1;1
31;CAP;BOT;2;1;2;1
31;FLA;PAL;1;1;1;1
31;CRU;PAR;3;1;3;1
31;GRE;SPO;3;4;3;4
31;SAN;FLU;3;0;3;0
31;CHA;AME;1;0;1;0
31;VIT;SAO;0;1;0;1
32;INT;CAP;2;1;2;1
32;PAL;SAN;3;2;3;2
32;FLU;VAS;0;1;0;1
32;BAH;CHA;1;0;1;0
32;AME;CRU;1;2;1;2
32;BOT;COR;1;0;1;0
32;SAO;FLA;2;2;2;2
